wardNo,wardName,wardId
1,Sammanthranapura,SAMMANTHRANAPURA
2,Mattakkuliya,MATTAKKULIYA
3,Modara,MODARA
4,Mahawatta,MAHAWATTA
5,Aluth Mawatha,ALUTH_MAWATHA
6,Lunupokuna,LUNUPOKUNA
7,Kotahena West,KOTAHENA_WEST
8,Kotahena East,KOTAHENA_EAST
9,Bloemendhal,BLOEMENDHAL
10,Grandpass North,GRANDPASS_NORTH
11,Navagampura,NAVAGAMPURA
12,Dematagoda,DEMATAGODA
13,Maligawatta East,MALIGAWATTA_EAST
14,Grandpass South,GRANDPASS_SOUTH
15,Khettarama,KHETTARAMA
16,New Bazaar,NEW_BAZAAR
17,Masangasweediya,MASANGASWEEDIYA
18,Jintupitiya,JINTUPITIYA
19,Kochchikade,KOCHCHIKADE
20,Fort,FORT
21,Kochchikade South,KOCHCHIKADE_SOUTH
22,Hulstorf West,HULSTORF_WEST
23,Hulstorf East,HULSTORF_EAST
24,Keselwatta,KESELWATTA
25,Panchikawatta,PANCHIKAWATTA
26,Maligawatta West,MALIGAWATTA_WEST
27,Maradana,MARADANA
28,Kuppiyawatta East,KUPPIYAWATTA_EAST
29,Wanathamulla,WANATHAMULLA
30,Borella North,BORELLA_NORTH
31,Kuppiyawatta West,KUPPIYAWATTA_WEST
32,Hunupitiya,HUNUPITIYA
33,Wekanda,WEKANDA
34,Kollupitiya,KOLLUPITIYA
35,Bambalapitiya,BAMBALAPITIYA
36,Cinnamon Gardens,CINNAMON_GARDENS
37,Borella South,BORELLA_SOUTH
38,Gothamipura,GOTHAMIPURA
39,Narahenpita,NARAHENPITA
40,Thimbirigasyaya,THIMBIRIGASYAYA
41,Havelock Town,HAVELOCK_TOWN
42,Kirula,KIRULA
43,Kirulapana,KIRULAPANA
44,Pamankada East,PAMANKADA_EAST
45,Pamankada West,PAMANKADA_WEST
46,Wellawatta North,WELLAWATTA_NORTH
47,Wellawatta South,WELLAWATTA_SOUTH
